City,Type,County
AGUILA,CDP,MARICOPA
AJO,CDP,PIMA
AK CHIN,CDP,PIMA
AK-CHIN VILLAGE,CDP,PINAL
ALAMO LAKE,CDP,LA PAZ
ALI CHUK,CDP,PIMA
ALI CHUKSON,CDP,PIMA
ALI MOLINA,CDP,PIMA
ALPINE,CDP,APACHE
AMADO,CDP,SANTA CRUZ
ANEGAM,CDP,PIMA
ANTARES,CDP,MOHAVE
ANTHEM,CDP,MARICOPA
APACHE JUNCTION,City,PINAL
ARIVACA,CDP,PIMA
ARIVACA JUNCTION,CDP,PIMA
ARIZONA CITY,CDP,PINAL
ARIZONA VILLAGE,CDP,MOHAVE
ARLINGTON,CDP,MARICOPA
ASH FORK,CDP,YAVAPAI
AVENUE B AND C,CDP,YUMA
AVONDALE,City,MARICOPA
AVRA VALLEY,CDP,PIMA
AZTEC,CDP,YUMA
BAGDAD,CDP,YAVAPAI
BEAR FLAT,CDP,GILA
BEAVER DAM,CDP,MOHAVE
BEAVER VALLEY,CDP,GILA
BELLEMONT,UIC,COCONINO
BENSON,City,COCHISE
BEYERVILLE,CDP,SANTA CRUZ
BISBEE,City,COCHISE
BITTER SPRINGS,CDP,COCONINO
BLACK CANYON CITY,CDP,YAVAPAI
BLACKWATER,CDP,PINAL
BLUEWATER,CDP,LA PAZ
BOUSE,CDP,LA PAZ
BOWIE,CDP,COCHISE
BRENDA,CDP,LA PAZ
BRYCE,CDP,GRAHAM
BUCKEYE,Town,MARICOPA
BUCKSHOT,CDP,YUMA
BULLHEAD CITY,City,MOHAVE
BURNSIDE,CDP,APACHE
BYLAS,CDP,GRAHAM
CACTUS FLATS,CDP,GRAHAM
CACTUS FOREST,CDP,PINAL
CAMERON,CDP,COCONINO
CAMP VERDE,Town,YAVAPAI
CAMPO BONITO,CDP,PINAL
CANE BEDS,CDP,MOHAVE
CANYON DAY,CDP,GILA
CAREFREE,Town,MARICOPA
CARRIZO,CDP,GILA
CASA ADOBES,CDP,PIMA
CASA BLANCA,CDP,PINAL
CASA GRANDE,City,PINAL
CATALINA,CDP,PIMA
CATALINA FOOTHILLS,CDP,PIMA
CAVE CREEK,Town,MARICOPA
CEDAR CREEK,CDP,GILA
CENTENNIAL PARK,CDP,MOHAVE
CENTRAL,CDP,GRAHAM
CENTRAL HEIGHTS-MIDLAND CITY,CDP,GILA
CHANDLER,City,MARICOPA
CHARCO,CDP,PIMA
CHIAWULI TAK,CDP,PIMA
CHILCHINBITO,CDP,NAVAJO
CHINLE,CDP,APACHE
CHINO VALLEY,Town,YAVAPAI
CHLORIDE,CDP,MOHAVE
CHRISTOPHER CREEK,CDP,GILA
CHUICHU,CDP,PINAL
CIBECUE,CDP,NAVAJO
CIBOLA,CDP,LA PAZ
CIENEGA SPRINGS,CDP,LA PAZ
CITRUS PARK,CDP,MARICOPA
CLACKS CANYON,CDP,MOHAVE
CLARKDALE,Town,YAVAPAI
CLAY SPRINGS,CDP,NAVAJO
CLAYPOOL,CDP,GILA
CLIFTON,Town,GREENLEE
COCHISE,UIC,COCHISE
COLORADO CITY,Town,MOHAVE
COMOBABI,CDP,PIMA
CONCHO,CDP,APACHE
CONGRESS,CDP,YAVAPAI
COOLIDGE,City,PINAL
COPPER HILL,CDP,GILA
CORDES LAKES,CDP,YAVAPAI
CORNFIELDS,CDP,APACHE
CORNVILLE,CDP,YAVAPAI
CORONA DE TUCSON,CDP,PIMA
CORTARO,UIC,PIMA
COTTONWOOD,Town,YAVAPAI
COWLIC,CDP,PIMA
CROZIER,CDP,MOHAVE
CRYSTAL BEACH,CDP,MOHAVE
CUTTER,CDP,GILA
DATELAND,CDP,YUMA
DAVIS MONTHAN,AFB,PIMA
DAVIS-MONTHAN AIR FORCE BASE,AFB,PIMA
DEER CREEK,CDP,GILA
DEL MUERTO,CDP,APACHE
DENNEHOTSO,CDP,APACHE
DESERT HILLS,CDP,MOHAVE
DEWEY-HUMBOLDT,Town,YAVAPAI
